period,snapshot_date,start,end,stage,core_0050,top_k,selected,utility,sharpe,p_beat_0050,p_lt0,turnover,cost,actual_return,benchmark_0050_return,beat_0050
2016Q1,2016-01-04,2016-01-04,2016-03-31,fallback_turnover,0.7,6,3008 大立光 5.0%; 2207 和泰車 5.0%; 3661 世芯-KY 5.0%; 6442 光聖 5.0%; 8081 致新 5.0%; 2345 智邦 5.0%,3.170955556364178,0.3338074794523225,0.5565,0.36075,1.0,0.0019250000000000005,0.09012258525227396,0.08564231471529826,True
2016Q2,2016-04-01,2016-04-01,2016-06-30,feasible,0.6,4,3413 京鼎 10.0%; 6442 光聖 10.0%; 2207 和泰車 10.0%; 3450 聯鈞 10.0%,3.3243206430273298,0.4498808740747035,0.63925,0.314,0.30000000000000004,0.002055,-0.0520010085339324,0.024256454344153466,False
2016Q3,2016-07-01,2016-07-01,2016-09-30,feasible,0.6,6,3413 京鼎 6.7%; 8081 致新 6.7%; 3008 大立光 6.7%; 2207 和泰車 6.7%; 2395 pU 6.7%; 1560 中砂 6.7%,4.457916417186114,0.03518158715137405,0.628,0.37875,0.2666666666666667,0.0018266666666666668,0.11325942960930106,0.08416502555209249,True
2016Q4,2016-10-03,2016-10-03,2016-12-31,feasible,0.6,8,2207 和泰車 5.0%; 2455 全新 5.0%; 3413 京鼎 5.0%; 2395 pU 5.0%; 3008 大立光 5.0%; 8081 致新 5.0%; 2059 川湖 5.0%; 2383 台光電 5.0%,2.9221216058135804,0.0925912088923027,0.73,0.32425,0.15,0.0010275,-0.0052271358143711226,0.004898833442058326,False
2017Q1,2017-01-03,2017-01-03,2017-03-31,feasible,0.5,6,3008 大立光 8.3%; 2345 智邦 8.3%; 3450 聯鈞 8.3%; 2207 和泰車 8.3%; 3413 京鼎 8.3%; 2383 台光電 8.3%,3.70400556402648,0.27816623623171377,0.8,0.28075,0.3,0.002055,0.13707414984729835,0.049372196966538384,True
2017Q2,2017-04-05,2017-04-05,2017-06-30,feasible,0.5,6,3008 大立光 8.3%; 3413 京鼎 8.3%; 3661 世芯-KY 8.3%; 2345 智邦 8.3%; 2344 華邦電 8.3%; 3450 聯鈞 8.3%,2.42858868022628,0.612311446033602,0.65575,0.28225,0.16666666666666666,0.0011416666666666667,0.09180204849428948,0.07702626345106545,True
2017Q3,2017-07-03,2017-07-03,2017-09-30,feasible,0.6,4,3661 世芯-KY 10.0%; 3008 大立光 10.0%; 2345 智邦 10.0%; 2383 台光電 10.0%,4.783511705190052,0.7767609105319577,0.74875,0.22475,0.25,0.0017125,0.09495899840625899,0.011106909442639479,True
2017Q4,2017-10-02,2017-10-02,2017-12-31,feasible,0.5,6,3413 京鼎 8.3%; 3661 世芯-KY 8.3%; 3008 大立光 8.3%; 2383 台光電 8.3%; 2345 智邦 8.3%; 2344 華邦電 8.3%,4.638522718123816,0.8565840967962669,0.793,0.191,0.16666666666666663,0.001141666666666667,-0.06445859578683644,0.007975515137097267,False
2018Q1,2018-01-02,2018-01-02,2018-03-31,feasible,0.5,8,3661 世芯-KY 6.2%; 2455 全新 6.2%; 3008 大立光 6.2%; 2345 智邦 6.2%; 2383 台光電 6.2%; 3413 京鼎 6.2%; 3443 創意 6.2%; 2327 國巨* 6.2%,2.930849139509336,0.7932029989757359,0.82725,0.21325,0.18749999999999997,0.001284375,0.0651604341365438,0.02889605587949995,True
2018Q2,2018-04-02,2018-04-02,2018-06-30,feasible,0.6,6,2345 智邦 6.7%; 3661 世芯-KY 6.7%; 3008 大立光 6.7%; 3413 京鼎 6.7%; 2455 全新 6.7%; 4977 眾達-KY 6.7%,2.64853338524313,0.7049151299533523,0.8065,0.2395,0.18749999999999997,0.0012843750000000001,0.010721188159948327,-0.0097264563995757,True
