bucket,count,pred_mean,actual_rate,metric,method,calibration_gap
"(0.403, 0.503]",9,0.47425925925925927,0.4444444444444444,P(>5%),raw,0.02981481481481485
"(0.503, 0.539]",8,0.5284166666666666,0.375,P(>5%),raw,0.15341666666666665
"(0.539, 0.65]",8,0.598,0.75,P(>5%),raw,-0.15200000000000002
"(0.65, 0.721]",8,0.687,0.625,P(>5%),raw,0.062000000000000055
"(0.721, 0.863]",8,0.7817083333333333,0.75,P(>5%),raw,0.03170833333333334
"(0.0287, 0.132]",9,0.08725925925925923,0.2222222222222222,P(<0%),raw,-0.13496296296296298
"(0.132, 0.189]",8,0.16791666666666663,0.0,P(<0%),raw,0.16791666666666663
"(0.189, 0.259]",8,0.22074999999999997,0.25,P(<0%),raw,-0.029250000000000026
"(0.259, 0.288]",8,0.27408333333333335,0.25,P(<0%),raw,0.024083333333333345
"(0.288, 0.353]",8,0.32099999999999995,0.25,P(<0%),raw,0.07099999999999995
