period,snapshot_date,forecast_start,forecast_end,history_days,available_names,voo_core_weight,top_k,satellite_cap,satellite_mode,historical_sharpe,pred_mean,p_beat_voo,p_beat_qqq,p_gt_5,p_lt_0,regime_label,risk_score,spy_vs_sma200,vix_close,tnx_vs_sma20,turnover,turnover_cap,tracking_error,tracking_error_cap,max_theme_weight,theme_cap,constraints_feasible,total_violation,turnover_violation,tracking_error_violation,theme_violation,portfolio_beta,beta_cap,beta_feasible,beta_violation,score_combined_z,fully_feasible,selection_stage,selected_satellite,weights,realized_return,raw_p_beat_voo,raw_p_beat_qqq,raw_p_gt_5,raw_p_lt_0,p_gt_5_calibrated,p_lt_0_calibrated,p_beat_voo_calibrated,p_beat_qqq_calibrated
2016Q1,2016-01-04,2016-01-04,2016-03-31,910,34,0.8,2,0.1,equal,1.36635945437157,0.0479192034741177,0.6936666666666667,0.5263333333333333,0.4933333333333333,0.1943333333333333,risk_off,2,-0.0146702770112772,20.700000762939453,0.0014944010639936,0.0,0.2,0.0476776375805385,0.25,0.1999999999999999,0.2,True,0.0,0.0,0.0,0.0,1.0139547790817116,1.05,True,0.0,1.1990009365937049,True,feasible,"GOOGL,META","VOO 80.0%, GOOGL 10.0%, META 10.0%",0.0349171636131021,0.6936666666666667,0.5263333333333333,0.4933333333333333,0.1943333333333333,0.4933333333333333,0.1943333333333333,0.6936666666666667,0.5263333333333333
2016Q2,2016-04-01,2016-04-01,2016-06-30,971,34,0.6,10,0.1,equal,1.3255769628591778,0.0514384693076055,0.687,0.6276666666666667,0.5066666666666667,0.2483333333333333,risk_on,0,0.0368771906973439,13.100000381469728,-0.0511992095061414,0.32,0.35,0.0581712286524937,0.35,0.2,0.3,True,0.0,0.0,0.0,0.0,1.1018523811810144,1.4,True,0.0,3.4584711261232464,True,feasible,"AMD,SMCI,MU,NFLX,GOOGL,NVDA,META,COHR,AVGO,CLS","VOO 60.0%, GOOGL 4.0%, NVDA 4.0%, AVGO 4.0%, AMD 4.0%, CLS 4.0%, COHR 4.0%, NFLX 4.0%, SMCI 4.0%, META 4.0%, MU 4.0%",0.0332854339296505,0.687,0.6276666666666667,0.5066666666666667,0.2483333333333333,0.5066666666666667,0.2483333333333333,0.687,0.6276666666666667
2016Q3,2016-07-01,2016-07-01,2016-09-30,1035,34,0.5,8,0.1,equal,1.5602635112196834,0.0713852538020743,0.7413333333333333,0.7216666666666667,0.5946666666666667,0.2073333333333333,risk_on,0,0.0479381007197725,14.770000457763672,-0.0950338916996977,0.2599999999999999,0.35,0.0924810845048372,0.35,0.25,0.3,True,0.0,0.0,0.0,0.0,1.180322347207154,1.4,True,0.0,3.471137630766876,True,feasible,"AMD,NVDA,TSLA,NFLX,META,AMZN,MU,AVGO","VOO 50.0%, NVDA 6.2%, AMZN 6.2%, AVGO 6.2%, TSLA 6.2%, AMD 6.2%, MU 6.2%, NFLX 6.2%, META 6.2%",0.1192110498634952,0.7413333333333333,0.7216666666666667,0.5946666666666667,0.2073333333333333,0.5946666666666667,0.2073333333333333,0.7413333333333333,0.7216666666666667
2016Q4,2016-10-03,2016-10-03,2016-12-30,301,35,0.5,6,0.1,equal,1.7721401051000416,0.0933643925084578,0.9083333333333332,0.912,0.6513333333333333,0.1986666666666666,risk_on,0,0.0554293729666801,13.56999969482422,-0.0070097171316345,0.3125,0.35,0.1199649726191983,0.35,0.25,0.3,True,0.0,0.0,0.0,0.0,1.1873869911600523,1.4,True,0.0,4.272525601221955,True,feasible,"MU,LOGI,LITE,NTAP,AMD,NVDA","VOO 50.0%, NVDA 8.3%, AMD 8.3%, MU 8.3%, NTAP 8.3%, LITE 8.3%, LOGI 8.3%",0.1397279885934884,0.9083333333333332,0.912,0.6513333333333333,0.1986666666666666,0.6513333333333333,0.1986666666666666,0.9083333333333332,0.912
2017Q1,2017-01-03,2017-01-03,2017-03-31,364,35,0.5,10,0.1,predicted,1.6461549098611028,0.0770182262407117,0.954,0.9686666666666668,0.6366666666666667,0.1913333333333333,risk_on,0,0.0648836319418255,12.850000381469728,-0.0167947343484244,0.2752826594314523,0.35,0.0869648481620289,0.35,0.2302648358637928,0.3,True,0.0,0.0,0.0,0.0,1.1899354110478324,1.4,True,0.0,3.407801013784217,True,feasible,"NVDA,MU,NFLX,AMD,GOOGL,META,AAPL,SMCI,LITE,AMZN","VOO 50.0%, NVDA 8.6%, MU 5.2%, NFLX 5.1%, AMD 5.0%, GOOGL 4.9%, META 4.8%, AAPL 4.7%, SMCI 4.2%, LITE 3.9%, AMZN 3.6%",0.1107304683538414,0.954,0.9686666666666668,0.6366666666666667,0.1913333333333333,0.6366666666666667,0.1913333333333333,0.954,0.9686666666666668
2017Q2,2017-04-03,2017-04-03,2017-06-30,374,35,0.5,12,0.1,predicted,2.3005498462383667,0.0942137482657224,0.9293333333333332,0.9423333333333334,0.7296666666666667,0.14,risk_on,0,0.0722230856697232,12.380000114440918,-0.0491604595878696,0.1801852406447875,0.35,0.0852303361270835,0.35,0.1459076745924625,0.3,True,0.0,0.0,0.0,0.0,1.1871457521942816,1.4,True,0.0,4.083196655557955,True,feasible,"AMD,LITE,TSLA,MU,LOGI,NVDA,GOOGL,META,NFLX,COHR,P,AMZN","VOO 50.0%, LITE 6.0%, AMD 6.0%, TSLA 5.0%, MU 4.6%, LOGI 4.2%, NVDA 4.0%, GOOGL 3.9%, META 3.9%, NFLX 3.9%, COHR 2.9%, P 2.9%, AMZN 2.8%",0.0622809403042715,0.9293333333333332,0.9423333333333334,0.7296666666666667,0.14,0.7296666666666667,0.14,0.9293333333333332,0.9423333333333334
2017Q3,2017-07-03,2017-07-03,2017-09-29,437,36,0.7,10,0.1,equal,1.8450578518656524,0.0642587402624151,0.911,0.7543333333333333,0.6196666666666667,0.162,caution,1,0.0654488445766794,11.220000267028809,0.0697430246068508,0.2014969341141307,0.25,0.0537568600676125,0.3,0.09,0.25,True,0.0,0.0,0.0,0.0,1.1903912329776007,1.2,True,0.0,-0.1852498627924307,True,feasible,"AMD,LITE,NVDA,NFLX,COHR,TSLA,GOOGL,META,P,MU","VOO 70.0%, GOOGL 3.0%, NVDA 3.0%, TSLA 3.0%, NFLX 3.0%, AMD 3.0%, COHR 3.0%, P 3.0%, META 3.0%, MU 3.0%, LITE 3.0%",0.0743610940131312,0.911,0.7543333333333333,0.6196666666666667,0.162,0.6196666666666667,0.162,0.911,0.7543333333333333
2017Q4,2017-10-02,2017-10-02,2017-12-29,500,36,0.8,10,0.1,predicted,1.617211066257344,0.0457554461807074,0.854,0.5706666666666667,0.4936666666666666,0.1886666666666666,caution,1,0.0659473577065234,9.449999809265137,0.0572507293705277,0.137879726600372,0.25,0.0346583285022859,0.3,0.0744604601171549,0.25,True,0.0,0.0,0.0,0.0,1.1577213487365896,1.2,True,0.0,0.0740471278546345,True,feasible,"LITE,NFLX,META,GOOGL,MU,AMD,SMCI,MSTR,P,NVDA","VOO 80.0%, LITE 2.5%, NFLX 2.2%, META 2.1%, GOOGL 2.1%, MU 1.9%, AMD 1.9%, SMCI 1.9%, MSTR 1.9%, P 1.8%, NVDA 1.7%",0.048953788843668,0.854,0.5706666666666667,0.4936666666666666,0.1886666666666666,0.4936666666666666,0.1886666666666666,0.854,0.5706666666666667
2018Q1,2018-01-02,2018-01-02,2018-03-29,1413,36,0.7,4,0.1,equal,1.6028752631227483,0.0525742923247322,0.874921277919471,0.8773470932029691,0.6209804281733708,0.1723333333333333,caution,1,0.0931586961213999,9.770000457763672,0.0236073107197261,0.2366749652209817,0.25,0.0539829632285435,0.3,0.225,0.25,True,0.0,0.0,0.0,0.0,1.1236041405890451,1.2,True,0.0,1.565703839730214,True,feasible,"GOOGL,META,NFLX,AAPL","VOO 70.0%, GOOGL 7.5%, META 7.5%, AAPL 7.5%, NFLX 7.5%",0.0109949322034235,0.8752529413029406,0.8723673708380055,0.528,0.1723333333333333,0.6209804281733708,0.1723333333333333,0.874921277919471,0.8773470932029691
2018Q2,2018-04-02,2018-04-02,2018-06-29,245,36,0.5,6,0.1,equal,2.0029471699349357,0.0952645725258722,0.8888337657475919,0.7779548381788755,0.5687598503719125,0.0563333333333333,risk_on,0,0.0037942166549933,23.6200008392334,-0.0376892871045559,0.275,0.35,0.0879286381577572,0.35,0.25,0.3,True,0.0,0.0,0.0,0.0,1.1787970154372385,1.4,True,0.0,2.449065309391439,True,feasible,"NFLX,LITE,OKTA,GOOGL,META,NOW","VOO 50.0%, GOOGL 8.3%, NOW 8.3%, NFLX 8.3%, LITE 8.3%, OKTA 8.3%, META 8.3%",0.1184861954183726,0.888914607618845,0.779043660739605,0.757,0.0563333333333333,0.5687598503719125,0.0563333333333333,0.8888337657475919,0.7779548381788755
