game_pk,season_year,game_date,prob_home,actual,correct,model_label
745444,2024,2024-03-20,0.4674,0,1,early
746175,2024,2024-03-21,0.5305,0,0,soft_blend
745039,2024,2024-03-28,0.5173,1,1,early
745116,2024,2024-03-28,0.5158,0,0,early
745283,2024,2024-03-28,0.5106,0,0,early
745445,2024,2024-03-28,0.5203,1,1,early
745687,2024,2024-03-28,0.4527,0,1,early
746089,2024,2024-03-28,0.5082,0,0,early
746165,2024,2024-03-28,0.5106,1,1,early
746335,2024,2024-03-28,0.45,0,1,early
746418,2024,2024-03-28,0.5147,0,0,early
746737,2024,2024-03-28,0.4943,1,0,early
746821,2024,2024-03-28,0.4459,0,1,early
747060,2024,2024-03-28,0.5106,1,1,early
747224,2024,2024-03-28,0.5057,1,1,early
745117,2024,2024-03-29,0.5178,1,1,soft_blend
745276,2024,2024-03-29,0.5167,1,1,soft_blend
745435,2024,2024-03-29,0.5233,0,0,soft_blend
745604,2024,2024-03-29,0.4674,0,1,early
745682,2024,2024-03-29,0.4392,0,1,soft_blend
745848,2024,2024-03-29,0.4406,0,1,early
746091,2024,2024-03-29,0.5121,0,0,soft_blend
746167,2024,2024-03-29,0.5251,1,1,soft_blend
746412,2024,2024-03-29,0.4996,0,1,soft_blend
747223,2024,2024-03-29,0.5282,1,1,soft_blend
745037,2024,2024-03-30,0.5218,1,1,soft_blend
745119,2024,2024-03-30,0.5241,1,1,soft_blend
745278,2024,2024-03-30,0.5304,1,1,soft_blend
745436,2024,2024-03-30,0.5284,0,0,soft_blend
745599,2024,2024-03-30,0.4604,0,1,soft_blend
745684,2024,2024-03-30,0.4567,0,1,soft_blend
745850,2024,2024-03-30,0.4449,0,1,soft_blend
746087,2024,2024-03-30,0.528,0,0,soft_blend
746168,2024,2024-03-30,0.5466,0,0,soft_blend
746333,2024,2024-03-30,0.4395,0,1,soft_blend
746410,2024,2024-03-30,0.5096,0,0,soft_blend
746736,2024,2024-03-30,0.516,0,0,soft_blend
746818,2024,2024-03-30,0.4498,0,1,soft_blend
747063,2024,2024-03-30,0.5252,1,1,soft_blend
747221,2024,2024-03-30,0.5557,0,0,soft_blend
745035,2024,2024-03-31,0.5306,0,0,soft_blend
745115,2024,2024-03-31,0.5291,0,0,soft_blend
745279,2024,2024-03-31,0.5496,0,0,soft_blend
745438,2024,2024-03-31,0.5608,1,1,soft_blend
745602,2024,2024-03-31,0.4867,1,0,soft_blend
745683,2024,2024-03-31,0.4903,1,0,soft_blend
745845,2024,2024-03-31,0.4285,0,1,soft_blend
746090,2024,2024-03-31,0.5319,0,0,soft_blend
746166,2024,2024-03-31,0.5859,1,1,soft_blend
746332,2024,2024-03-31,0.4439,1,0,soft_blend
746413,2024,2024-03-31,0.5267,0,0,soft_blend
746739,2024,2024-03-31,0.4912,1,0,soft_blend
746815,2024,2024-03-31,0.4224,0,1,soft_blend
747062,2024,2024-03-31,0.5376,0,0,soft_blend
747222,2024,2024-03-31,0.5254,1,1,soft_blend
744875,2024,2024-04-01,0.4291,0,1,soft_blend
745109,2024,2024-04-01,0.5388,0,0,soft_blend
745277,2024,2024-04-01,0.5461,1,1,soft_blend
745437,2024,2024-04-01,0.5254,0,0,soft_blend
745600,2024,2024-04-01,0.5439,0,0,soft_blend
745675,2024,2024-04-01,0.4559,0,1,soft_blend
745842,2024,2024-04-01,0.4584,0,1,soft_blend
746085,2024,2024-04-01,0.5211,0,0,soft_blend
746170,2024,2024-04-01,0.5391,1,1,soft_blend
746409,2024,2024-04-01,0.4731,1,0,soft_blend
746899,2024,2024-04-01,0.4946,1,0,soft_blend
747058,2024,2024-04-01,0.5391,1,1,soft_blend
747218,2024,2024-04-01,0.5054,0,0,soft_blend
745111,2024,2024-04-02,0.542,1,1,soft_blend
745273,2024,2024-04-02,0.5813,0,0,soft_blend
745439,2024,2024-04-02,0.6043,0,0,soft_blend
745598,2024,2024-04-02,0.5656,1,1,soft_blend
745680,2024,2024-04-02,0.5534,0,0,soft_blend
746009,2024,2024-04-02,0.4938,1,0,soft_blend
746086,2024,2024-04-02,0.5508,0,0,soft_blend
746169,2024,2024-04-02,0.5428,1,1,soft_blend
746411,2024,2024-04-02,0.5022,0,0,soft_blend
746814,2024,2024-04-02,0.423,1,0,soft_blend
746898,2024,2024-04-02,0.5808,1,1,soft_blend
747057,2024,2024-04-02,0.5442,0,0,soft_blend
747220,2024,2024-04-02,0.5641,1,1,soft_blend
744869,2024,2024-04-03,0.5115,1,1,soft_blend
745114,2024,2024-04-03,0.5791,0,0,soft_blend
745275,2024,2024-04-03,0.5622,0,0,soft_blend
745440,2024,2024-04-03,0.6063,1,1,soft_blend
745603,2024,2024-04-03,0.6067,0,0,soft_blend
745678,2024,2024-04-03,0.5154,0,0,soft_blend
746008,2024,2024-04-03,0.5639,0,0,soft_blend
746083,2024,2024-04-03,0.568,0,0,soft_blend
746163,2024,2024-04-03,0.6578,1,1,soft_blend
746407,2024,2024-04-03,0.4923,1,0,soft_blend
746900,2024,2024-04-03,0.6064,1,1,soft_blend
747059,2024,2024-04-03,0.5661,1,1,soft_blend
747219,2024,2024-04-03,0.5542,0,0,soft_blend
744870,2024,2024-04-04,0.5142,0,0,soft_blend
745200,2024,2024-04-04,0.4744,1,0,soft_blend
745843,2024,2024-04-04,0.4881,1,0,soft_blend
745844,2024,2024-04-04,0.4783,0,1,soft_blend
745928,2024,2024-04-04,0.5033,0,0,soft_blend
746327,2024,2024-04-04,0.5668,1,1,soft_blend
744874,2024,2024-04-05,0.449,0,1,soft_blend
745033,2024,2024-04-05,0.515,1,1,soft_blend
745361,2024,2024-04-05,0.4905,1,0,soft_blend
745524,2024,2024-04-05,0.432,0,1,soft_blend
745764,2024,2024-04-05,0.4227,0,1,soft_blend
746007,2024,2024-04-05,0.5432,1,1,soft_blend
746249,2024,2024-04-05,0.4724,0,1,soft_blend
746328,2024,2024-04-05,0.5378,1,1,soft_blend
746497,2024,2024-04-05,0.5992,1,1,soft_blend
746576,2024,2024-04-05,0.3945,1,0,soft_blend
746733,2024,2024-04-05,0.5709,0,0,soft_blend
746897,2024,2024-04-05,0.4279,1,0,soft_blend
747143,2024,2024-04-05,0.5731,1,1,soft_blend
744873,2024,2024-04-06,0.4027,0,1,soft_blend
745031,2024,2024-04-06,0.5344,1,1,soft_blend
745197,2024,2024-04-06,0.4831,1,0,soft_blend
745359,2024,2024-04-06,0.5926,0,0,soft_blend
745522,2024,2024-04-06,0.4164,1,0,soft_blend
745766,2024,2024-04-06,0.3523,1,0,soft_blend
745926,2024,2024-04-06,0.6596,0,0,soft_blend
746006,2024,2024-04-06,0.5462,0,0,soft_blend
746248,2024,2024-04-06,0.4991,1,0,soft_blend
746329,2024,2024-04-06,0.5117,1,1,soft_blend
746498,2024,2024-04-06,0.6135,0,0,soft_blend
746575,2024,2024-04-06,0.3792,0,1,soft_blend
746731,2024,2024-04-06,0.5765,1,1,soft_blend
746896,2024,2024-04-06,0.4223,0,1,soft_blend
747140,2024,2024-04-06,0.5834,1,1,soft_blend
744871,2024,2024-04-07,0.5082,1,1,soft_blend
745032,2024,2024-04-07,0.4863,0,1,soft_blend
745198,2024,2024-04-07,0.4916,0,1,soft_blend
745362,2024,2024-04-07,0.4816,1,0,soft_blend
745523,2024,2024-04-07,0.3644,1,0,soft_blend
745765,2024,2024-04-07,0.4804,1,0,soft_blend
746003,2024,2024-04-07,0.5046,1,1,soft_blend
746251,2024,2024-04-07,0.4953,0,1,soft_blend
746330,2024,2024-04-07,0.5623,1,1,soft_blend
746493,2024,2024-04-07,0.6383,0,0,soft_blend
746574,2024,2024-04-07,0.3464,0,1,soft_blend
746734,2024,2024-04-07,0.5708,0,0,soft_blend
746895,2024,2024-04-07,0.3661,1,0,soft_blend
747141,2024,2024-04-07,0.636,1,1,soft_blend
744956,2024,2024-04-08,0.505,1,1,primary
745034,2024,2024-04-08,0.5231,0,0,soft_blend
745194,2024,2024-04-08,0.3927,0,1,soft_blend
745363,2024,2024-04-08,0.5966,0,0,soft_blend
745432,2024,2024-04-08,0.5341,1,1,soft_blend
745520,2024,2024-04-08,0.4787,1,0,soft_blend
745761,2024,2024-04-08,0.4382,1,0,primary
745925,2024,2024-04-08,0.5638,0,0,soft_blend
746252,2024,2024-04-08,0.4839,1,0,soft_blend
746569,2024,2024-04-08,0.3745,1,0,primary
746654,2024,2024-04-08,0.6045,1,1,soft_blend
746735,2024,2024-04-08,0.3883,1,0,soft_blend
747142,2024,2024-04-08,0.6833,0,0,soft_blend
744957,2024,2024-04-09,0.513,1,1,primary
745030,2024,2024-04-09,0.7964,0,0,primary
745195,2024,2024-04-09,0.464,1,0,primary
745357,2024,2024-04-09,0.5176,0,0,primary
745433,2024,2024-04-09,0.5904,0,0,fallback
745517,2024,2024-04-09,0.5188,0,0,primary
745762,2024,2024-04-09,0.5056,1,1,fallback
745924,2024,2024-04-09,0.4703,0,1,soft_blend
746250,2024,2024-04-09,0.411,0,1,primary
746326,2024,2024-04-09,0.4677,1,0,primary
746571,2024,2024-04-09,0.3767,0,1,primary
746653,2024,2024-04-09,0.6396,0,0,soft_blend
746732,2024,2024-04-09,0.372,0,1,soft_blend
746981,2024,2024-04-09,0.4593,0,1,soft_blend
747138,2024,2024-04-09,0.6239,1,1,soft_blend
744950,2024,2024-04-10,0.5214,0,0,primary
745024,2024,2024-04-10,0.7087,1,1,primary
745196,2024,2024-04-10,0.4745,0,1,primary
745355,2024,2024-04-10,0.518,1,1,primary
745429,2024,2024-04-10,0.6487,1,1,primary
745763,2024,2024-04-10,0.6124,0,0,primary
745923,2024,2024-04-10,0.5495,1,1,soft_blend
746247,2024,2024-04-10,0.5578,0,0,fallback
746323,2024,2024-04-10,0.4595,1,0,fallback
746573,2024,2024-04-10,0.3733,0,1,primary
746655,2024,2024-04-10,0.7556,1,1,primary
746728,2024,2024-04-10,0.4082,0,1,primary
746980,2024,2024-04-10,0.4295,0,1,primary
745029,2024,2024-04-11,0.8256,0,0,primary
745601,2024,2024-04-11,0.5187,1,1,fallback
746322,2024,2024-04-11,0.3529,1,0,primary
746977,2024,2024-04-11,0.467,0,1,primary
747137,2024,2024-04-11,0.6486,0,0,soft_blend
744954,2024,2024-04-12,0.7169,0,0,primary
745112,2024,2024-04-12,0.3353,1,0,primary
745274,2024,2024-04-12,0.4598,1,0,primary
745596,2024,2024-04-12,0.5122,0,0,primary
745679,2024,2024-04-12,0.4352,1,0,primary
745838,2024,2024-04-12,0.4142,1,0,primary
746084,2024,2024-04-12,0.3982,0,1,primary
746162,2024,2024-04-12,0.5454,0,0,fallback
746408,2024,2024-04-12,0.4651,0,1,primary
746491,2024,2024-04-12,0.6034,1,1,primary
746812,2024,2024-04-12,0.4598,0,1,primary
746978,2024,2024-04-12,0.5296,0,0,primary
747055,2024,2024-04-12,0.5162,0,0,primary
747217,2024,2024-04-12,0.6749,0,0,primary
744953,2024,2024-04-13,0.6907,1,1,fallback
745110,2024,2024-04-13,0.6336,0,0,primary
745272,2024,2024-04-13,0.5211,0,0,fallback
745594,2024,2024-04-13,0.4511,1,0,primary
745676,2024,2024-04-13,0.3494,0,1,primary
745839,2024,2024-04-13,0.5718,0,0,primary
746082,2024,2024-04-13,0.438,1,0,fallback
746161,2024,2024-04-13,0.5652,1,1,primary
746405,2024,2024-04-13,0.5739,1,1,primary
746489,2024,2024-04-13,0.4976,0,1,primary
746490,2024,2024-04-13,0.555,0,0,fallback
746656,2024,2024-04-13,0.4769,0,1,primary
746658,2024,2024-04-13,0.4946,0,1,primary
746811,2024,2024-04-13,0.4684,0,1,fallback
746979,2024,2024-04-13,0.6476,1,1,fallback
747054,2024,2024-04-13,0.5355,0,0,fallback
747215,2024,2024-04-13,0.6158,1,1,primary
744952,2024,2024-04-14,0.7812,1,1,primary
745113,2024,2024-04-14,0.4822,1,0,primary
745271,2024,2024-04-14,0.5455,0,0,primary
745595,2024,2024-04-14,0.4124,0,1,primary
745681,2024,2024-04-14,0.3885,1,0,primary
745841,2024,2024-04-14,0.3731,1,0,primary
746079,2024,2024-04-14,0.3581,0,1,primary
746164,2024,2024-04-14,0.4951,0,1,primary
746404,2024,2024-04-14,0.4591,1,0,primary
746492,2024,2024-04-14,0.6127,1,1,primary
746648,2024,2024-04-14,0.4991,1,0,primary
746810,2024,2024-04-14,0.5635,0,0,primary
746975,2024,2024-04-14,0.675,1,1,primary
747056,2024,2024-04-14,0.5546,1,1,primary
747216,2024,2024-04-14,0.6796,1,1,primary
744951,2024,2024-04-15,0.4603,1,0,primary
745106,2024,2024-04-15,0.5192,0,0,primary
745268,2024,2024-04-15,0.5158,1,1,primary
745597,2024,2024-04-15,0.73,1,1,primary
745677,2024,2024-04-15,0.4647,0,1,primary
745840,2024,2024-04-15,0.512,1,1,primary
746002,2024,2024-04-15,0.6092,0,0,primary
746080,2024,2024-04-15,0.4674,0,1,primary
746158,2024,2024-04-15,0.5653,0,0,fallback
746406,2024,2024-04-15,0.4075,0,1,fallback
746488,2024,2024-04-15,0.5592,0,0,primary
746813,2024,2024-04-15,0.4534,0,1,fallback
746974,2024,2024-04-15,0.6226,0,0,primary
747053,2024,2024-04-15,0.6102,1,1,primary
747213,2024,2024-04-15,0.4391,0,1,fallback
744944,2024,2024-04-16,0.4265,1,0,primary
745108,2024,2024-04-16,0.5774,1,1,fallback
745270,2024,2024-04-16,0.5521,1,1,primary
745593,2024,2024-04-16,0.7646,1,1,primary
745674,2024,2024-04-16,0.3669,0,1,primary
745837,2024,2024-04-16,0.6189,1,1,fallback
746004,2024,2024-04-16,0.5484,0,0,primary
746081,2024,2024-04-16,0.4376,1,0,primary
746157,2024,2024-04-16,0.5995,1,1,fallback
746400,2024,2024-04-16,0.5604,0,0,primary
746486,2024,2024-04-16,0.5641,1,1,primary
746976,2024,2024-04-16,0.5345,0,0,primary
747051,2024,2024-04-16,0.5957,1,1,primary
747214,2024,2024-04-16,0.5521,1,1,primary
744948,2024,2024-04-17,0.4849,0,1,primary
745105,2024,2024-04-17,0.4629,0,1,primary
745267,2024,2024-04-17,0.4836,1,0,primary
745591,2024,2024-04-17,0.7331,1,1,primary
745671,2024,2024-04-17,0.4208,1,0,primary
745836,2024,2024-04-17,0.5817,1,1,primary
746005,2024,2024-04-17,0.4981,1,0,primary
746076,2024,2024-04-17,0.4111,0,1,primary
746159,2024,2024-04-17,0.6202,0,0,fallback
746401,2024,2024-04-17,0.53,0,0,primary
746487,2024,2024-04-17,0.5747,0,0,primary
746807,2024,2024-04-17,0.4421,0,1,fallback
746809,2024,2024-04-17,0.557,1,1,primary
746973,2024,2024-04-17,0.51,1,1,primary
747049,2024,2024-04-17,0.5904,1,1,primary
747212,2024,2024-04-17,0.5607,0,0,primary
745104,2024,2024-04-18,0.531,1,1,primary
745356,2024,2024-04-18,0.5384,1,1,primary
746485,2024,2024-04-18,0.5472,0,0,fallback
746970,2024,2024-04-18,0.516,0,0,primary
744872,2024,2024-04-19,0.4413,0,1,primary
745189,2024,2024-04-19,0.5197,0,0,primary
745352,2024,2024-04-19,0.4893,0,1,primary
745430,2024,2024-04-19,0.4404,0,1,fallback
745518,2024,2024-04-19,0.4556,0,1,primary
745592,2024,2024-04-19,0.68,1,1,fallback
745758,2024,2024-04-19,0.496,1,0,primary
745922,2024,2024-04-19,0.5192,0,0,primary
746160,2024,2024-04-19,0.5978,0,0,fallback
746325,2024,2024-04-19,0.37,1,0,primary
746650,2024,2024-04-19,0.4611,1,0,primary
746729,2024,2024-04-19,0.5977,1,1,primary
