season_year,game_id,game_date,home_team_abbr,vis_team_abbr,home_win,prob_home_win,prob_home_win_cal,predicted_home_win,correct
2016,0041600111,2017-04-15,CLE,IND,1,0.871025,1.0,1,1
2016,0041600121,2017-04-15,TOR,MIL,0,0.924607,1.0,1,0
2016,0041600151,2017-04-15,SAS,MEM,1,0.950257,1.0,1,1
2016,0041600171,2017-04-15,LAC,UTA,0,0.791701,0.714286,1,0
2016,0041600101,2017-04-16,BOS,CHI,0,0.685671,0.705882,1,0
2016,0041600131,2017-04-16,WAS,ATL,1,0.715965,0.705882,1,1
2016,0041600141,2017-04-16,GSW,POR,1,0.764139,0.714286,1,1
2016,0041600161,2017-04-16,HOU,OKC,1,0.416036,0.7,1,1
2016,0041600112,2017-04-17,CLE,IND,1,0.833468,0.777778,1,1
2016,0041600152,2017-04-17,SAS,MEM,1,0.842904,0.777778,1,1
2016,0041600102,2017-04-18,BOS,CHI,0,0.880359,1.0,1,0
2016,0041600122,2017-04-18,TOR,MIL,1,0.941621,1.0,1,1
2016,0041600172,2017-04-18,LAC,UTA,1,0.835577,0.777778,1,1
2016,0041600132,2017-04-19,WAS,ATL,1,0.649404,0.705882,1,1
2016,0041600142,2017-04-19,GSW,POR,1,0.553116,0.7,1,1
2016,0041600162,2017-04-19,HOU,OKC,1,0.391357,0.7,1,1
2016,0041600113,2017-04-20,IND,CLE,0,0.23891,0.206168,0,1
2016,0041600123,2017-04-20,MIL,TOR,1,0.318683,0.285714,0,0
2016,0041600153,2017-04-20,MEM,SAS,1,0.409271,0.7,1,1
2016,0041600103,2017-04-21,CHI,BOS,0,0.384783,0.7,1,0
2016,0041600163,2017-04-21,OKC,HOU,1,0.730705,0.705882,1,1
2016,0041600173,2017-04-21,UTA,LAC,0,0.830081,0.777778,1,0
2016,0041600124,2017-04-22,MIL,TOR,0,0.357275,0.7,1,0
2016,0041600133,2017-04-22,ATL,WAS,1,0.53073,0.7,1,1
2016,0041600143,2017-04-22,POR,GSW,0,0.622299,0.7,1,0
2016,0041600154,2017-04-22,MEM,SAS,1,0.495906,0.7,1,1
2016,0041600104,2017-04-23,CHI,BOS,0,0.509378,0.7,1,0
2016,0041600114,2017-04-23,IND,CLE,0,0.341047,0.285714,0,1
2016,0041600164,2017-04-23,OKC,HOU,0,0.749177,0.706452,1,0
2016,0041600174,2017-04-23,UTA,LAC,1,0.818294,0.777778,1,1
2016,0041600125,2017-04-24,TOR,MIL,1,0.926819,1.0,1,1
2016,0041600134,2017-04-24,ATL,WAS,1,0.650994,0.705882,1,1
2016,0041600144,2017-04-24,POR,GSW,0,0.620846,0.7,1,0
2016,0041600155,2017-04-25,SAS,MEM,1,0.950687,1.0,1,1
2016,0041600165,2017-04-25,HOU,OKC,1,0.714583,0.705882,1,1
2016,0041600175,2017-04-25,LAC,UTA,0,0.579962,0.7,1,0
2016,0041600105,2017-04-26,BOS,CHI,1,0.842269,0.777778,1,1
2016,0041600135,2017-04-26,WAS,ATL,1,0.831917,0.777778,1,1
2016,0041600126,2017-04-27,MIL,TOR,0,0.322161,0.285714,0,1
2016,0041600156,2017-04-27,MEM,SAS,0,0.434808,0.7,1,0
2016,0041600106,2017-04-28,CHI,BOS,0,0.496331,0.7,1,0
2016,0041600136,2017-04-28,ATL,WAS,0,0.471705,0.7,1,0
2016,0041600176,2017-04-28,UTA,LAC,0,0.677537,0.705882,1,0
2016,0041600177,2017-04-30,LAC,UTA,0,0.557217,0.7,1,0
2016,0041600201,2017-04-30,BOS,WAS,1,0.335044,0.285714,0,0
2016,0041600211,2017-05-01,CLE,TOR,1,0.782488,0.714286,1,1
2016,0041600231,2017-05-01,SAS,HOU,0,0.867288,1.0,1,0
2016,0041600202,2017-05-02,BOS,WAS,1,0.295413,0.285714,0,0
2016,0041600221,2017-05-02,GSW,UTA,1,0.910437,1.0,1,1
2016,0041600212,2017-05-03,CLE,TOR,1,0.69023,0.705882,1,1
2016,0041600232,2017-05-03,SAS,HOU,1,0.909987,1.0,1,1
2016,0041600203,2017-05-04,WAS,BOS,1,0.815929,0.777778,1,1
2016,0041600222,2017-05-04,GSW,UTA,1,0.754063,0.711485,1,1
2016,0041600213,2017-05-05,TOR,CLE,0,0.793604,0.714286,1,0
2016,0041600233,2017-05-05,HOU,SAS,0,0.243559,0.238021,0,1
2016,0041600223,2017-05-06,UTA,GSW,0,0.304639,0.285714,0,1
2016,0041600204,2017-05-07,WAS,BOS,1,0.7937,0.714286,1,1
2016,0041600214,2017-05-07,TOR,CLE,0,0.839735,0.777778,1,0
2016,0041600234,2017-05-07,HOU,SAS,1,0.44591,0.7,1,1
2016,0041600224,2017-05-08,UTA,GSW,0,0.339235,0.285714,0,1
2016,0041600235,2017-05-09,SAS,HOU,1,0.835369,0.777778,1,1
2016,0041600205,2017-05-10,BOS,WAS,1,0.48012,0.7,1,1
2016,0041600236,2017-05-11,HOU,SAS,0,0.285074,0.285714,0,1
2016,0041600206,2017-05-12,WAS,BOS,1,0.57278,0.7,1,1
2016,0041600311,2017-05-14,GSW,SAS,1,0.811953,0.777778,1,1
2016,0041600207,2017-05-15,BOS,WAS,1,0.461913,0.7,1,1
2016,0041600312,2017-05-16,GSW,SAS,1,0.619246,0.7,1,1
2016,0041600301,2017-05-17,BOS,CLE,0,0.306303,0.285714,0,1
2016,0041600302,2017-05-19,BOS,CLE,0,0.637781,0.705882,1,0
2016,0041600313,2017-05-20,SAS,GSW,0,0.844521,0.777778,1,0
2016,0041600303,2017-05-21,CLE,BOS,0,0.690282,0.705882,1,0
2016,0041600314,2017-05-22,SAS,GSW,0,0.808933,0.777778,1,0
2016,0041600304,2017-05-23,CLE,BOS,1,0.643516,0.705882,1,1
2016,0041600305,2017-05-25,BOS,CLE,0,0.712383,0.705882,1,0
2016,0041600401,2017-06-01,GSW,CLE,1,0.870399,1.0,1,1
2016,0041600402,2017-06-04,GSW,CLE,1,0.679394,0.705882,1,1
2016,0041600403,2017-06-07,CLE,GSW,0,0.483513,0.7,1,0
2016,0041600404,2017-06-09,CLE,GSW,1,0.369324,0.7,1,1
2016,0041600405,2017-06-12,GSW,CLE,1,0.810683,0.777778,1,1
2017,0041700101,2018-04-14,TOR,WAS,1,0.887064,0.8,1,1
2017,0041700121,2018-04-14,PHI,MIA,1,0.717412,0.666667,1,1
2017,0041700151,2018-04-14,GSW,SAS,1,0.521265,0.5,1,1
2017,0041700161,2018-04-14,POR,NOP,0,0.79702,0.666667,1,0
2017,0041700111,2018-04-15,BOS,MIL,1,0.779894,0.666667,1,1
2017,0041700131,2018-04-15,CLE,IND,0,0.75148,0.666667,1,0
2017,0041700141,2018-04-15,HOU,MIN,1,0.876763,0.666667,1,1
2017,0041700171,2018-04-15,OKC,UTA,1,0.707365,0.635689,1,1
2017,0041700122,2018-04-16,PHI,MIA,0,0.685391,0.5,1,0
2017,0041700152,2018-04-16,GSW,SAS,1,0.425568,0.5,1,1
2017,0041700102,2018-04-17,TOR,WAS,1,0.818607,0.666667,1,1
2017,0041700112,2018-04-17,BOS,MIL,1,0.718586,0.666667,1,1
2017,0041700162,2018-04-17,POR,NOP,0,0.835748,0.666667,1,0
2017,0041700132,2018-04-18,CLE,IND,1,0.845436,0.666667,1,1
2017,0041700142,2018-04-18,HOU,MIN,1,0.769226,0.666667,1,1
2017,0041700172,2018-04-18,OKC,UTA,0,0.769764,0.666667,1,0
2017,0041700123,2018-04-19,MIA,PHI,0,0.640259,0.5,1,0
2017,0041700153,2018-04-19,SAS,GSW,0,0.327531,0.5,1,0
2017,0041700163,2018-04-19,NOP,POR,1,0.630464,0.5,1,1
2017,0041700103,2018-04-20,WAS,TOR,1,0.397306,0.5,1,1
2017,0041700113,2018-04-20,MIL,BOS,1,0.160564,0.0,0,0
2017,0041700133,2018-04-20,IND,CLE,1,0.615484,0.5,1,1
2017,0041700124,2018-04-21,MIA,PHI,0,0.65813,0.5,1,0
2017,0041700143,2018-04-21,MIN,HOU,1,0.212091,0.333333,0,0
2017,0041700164,2018-04-21,NOP,POR,1,0.732955,0.666667,1,1
2017,0041700173,2018-04-21,UTA,OKC,1,0.660608,0.5,1,1
2017,0041700104,2018-04-22,WAS,TOR,1,0.340563,0.5,1,1
2017,0041700114,2018-04-22,MIL,BOS,1,0.255819,0.333333,0,0
2017,0041700134,2018-04-22,IND,CLE,0,0.370608,0.5,1,0
2017,0041700154,2018-04-22,SAS,GSW,1,0.382822,0.5,1,1
2017,0041700144,2018-04-23,MIN,HOU,0,0.245416,0.333333,0,1
