season_year,game_id,game_date,home_team_abbr,vis_team_abbr,home_win,prob_home_win,prob_home_win_cal,predicted_home_win,correct
2016,0021600001,2016-10-25,CLE,NYK,1,0.799543,0.731092,1,1
2016,0021600002,2016-10-25,POR,UTA,1,0.637925,0.62037,1,1
2016,0021600003,2016-10-25,GSW,SAS,0,0.754683,0.731092,1,0
2016,0021600004,2016-10-26,ORL,MIA,0,0.429845,0.427885,0,1
2016,0021600005,2016-10-26,IND,DAL,1,0.699459,0.731092,1,1
2016,0021600006,2016-10-26,BOS,BKN,1,0.740712,0.731092,1,1
2016,0021600007,2016-10-26,TOR,DET,1,0.759404,0.731092,1,1
2016,0021600008,2016-10-26,MIL,CHA,0,0.454282,0.427885,0,1
2016,0021600009,2016-10-26,MEM,MIN,1,0.731582,0.731092,1,1
2016,0021600010,2016-10-26,NOP,DEN,0,0.574875,0.62037,1,0
2016,0021600011,2016-10-26,PHI,OKC,0,0.19106,0.145455,0,1
2016,0021600012,2016-10-26,PHX,SAC,0,0.504279,0.557692,1,0
2016,0021600013,2016-10-26,LAL,HOU,1,0.462899,0.427885,0,0
2016,0021600014,2016-10-27,ATL,WAS,1,0.734365,0.731092,1,1
2016,0021600015,2016-10-27,CHI,BOS,1,0.540172,0.604839,1,1
2016,0021600016,2016-10-27,SAC,SAS,0,0.232878,0.145455,0,1
2016,0021600017,2016-10-27,POR,LAC,0,0.516423,0.578693,1,0
2016,0021600018,2016-10-28,TOR,CLE,0,0.587721,0.62037,1,0
2016,0021600019,2016-10-28,BKN,IND,1,0.343825,0.4,0,0
2016,0021600020,2016-10-28,DET,ORL,1,0.684415,0.731092,1,1
2016,0021600021,2016-10-28,OKC,PHX,1,0.881046,0.9,1,1
2016,0021600022,2016-10-28,MIA,CHA,0,0.587098,0.62037,1,0
2016,0021600023,2016-10-28,DAL,HOU,0,0.541659,0.604839,1,0
2016,0021600024,2016-10-28,UTA,LAL,1,0.787452,0.731092,1,1
2016,0021600025,2016-10-28,NOP,GSW,0,0.205793,0.145455,0,1
2016,0021600026,2016-10-29,PHI,ATL,0,0.200904,0.145455,0,1
2016,0021600027,2016-10-29,CHA,BOS,0,0.57836,0.62037,1,0
2016,0021600028,2016-10-29,NYK,MEM,1,0.490203,0.557692,1,1
2016,0021600029,2016-10-29,CLE,ORL,1,0.843976,0.764706,1,1
2016,0021600030,2016-10-29,CHI,IND,1,0.587757,0.62037,1,1
2016,0021600031,2016-10-29,MIL,BKN,1,0.686137,0.731092,1,1
2016,0021600032,2016-10-29,SAS,NOP,1,0.842647,0.764706,1,1
2016,0021600033,2016-10-29,DEN,POR,0,0.483989,0.427885,0,1
2016,0021600034,2016-10-29,SAC,MIN,1,0.587366,0.62037,1,1
2016,0021600035,2016-10-30,LAC,UTA,1,0.651834,0.62037,1,1
